#category	term ID	term description	observed gene count	background gene count	strength	signal	false discovery rate	matching proteins in your network (IDs)	matching proteins in your network (labels)
GO Process	GO:0008152	Metabolic process	60	6817	0.33	0.63	4.83e-06	37653.A0A0L8FF94,37653.A0A0L8FGD1,37653.A0A0L8FLE0,37653.A0A0L8FLH8,37653.A0A0L8FML9,37653.A0A0L8FNX8,37653.A0A0L8FP27,37653.A0A0L8FPA5,37653.A0A0L8FPI9,37653.A0A0L8FPN4,37653.A0A0L8FPZ6,37653.A0A0L8FQ87,37653.A0A0L8FQJ9,37653.A0A0L8FVL2,37653.A0A0L8FWE5,37653.A0A0L8FWP5,37653.A0A0L8G175,37653.A0A0L8G2A7,37653.A0A0L8G5A3,37653.A0A0L8G667,37653.A0A0L8G9D9,37653.A0A0L8G9L0,37653.A0A0L8GA32,37653.A0A0L8GAQ9,37653.A0A0L8GC37,37653.A0A0L8GCJ9,37653.A0A0L8GDI1,37653.A0A0L8GDI6,37653.A0A0L8GDT2,37653.A0A0L8GE16,37653.A0A0L8GES0,37653.A0A0L8GFB0,37653.A0A0L8GFS8,37653.A0A0L8GJ68,37653.A0A0L8GKE1,37653.A0A0L8GKJ9,37653.A0A0L8GL19,37653.A0A0L8GPJ8,37653.A0A0L8GSV5,37653.A0A0L8GVZ4,37653.A0A0L8GWM6,37653.A0A0L8H478,37653.A0A0L8H5R3,37653.A0A0L8H5X8,37653.A0A0L8H948,37653.A0A0L8HC44,37653.A0A0L8HF67,37653.A0A0L8HG52,37653.A0A0L8HG55,37653.A0A0L8HGM7,37653.A0A0L8HKG8,37653.A0A0L8HM70,37653.A0A0L8HTW3,37653.A0A0L8HZY4,37653.A0A0L8I1R9,37653.A0A0L8I256,37653.A0A0L8I7R7,37653.A0A0L8I7X0,37653.A0A0L8IAB6,37653.A0A0L8IAV0	A0A0L8FF94,A0A0L8FGD1,A0A0L8FLE0,A0A0L8FLH8,A0A0L8FML9,A0A0L8FNX8,A0A0L8FP27,A0A0L8FPA5,A0A0L8FPI9,A0A0L8FPN4,A0A0L8FPZ6,A0A0L8FQ87,A0A0L8FQJ9,A0A0L8FVL2,A0A0L8FWE5,A0A0L8FWP5,A0A0L8G175,A0A0L8G2A7,A0A0L8G5A3,A0A0L8G667,A0A0L8G9D9,A0A0L8G9L0,A0A0L8GA32,A0A0L8GAQ9,A0A0L8GC37,A0A0L8GCJ9,A0A0L8GDI1,A0A0L8GDI6,A0A0L8GDT2,A0A0L8GE16,A0A0L8GES0,A0A0L8GFB0,A0A0L8GFS8,A0A0L8GJ68,LSM4,A0A0L8GKJ9,A0A0L8GL19,A0A0L8GPJ8,A0A0L8GSV5,A0A0L8GVZ4,A0A0L8GWM6,A0A0L8H478,A0A0L8H5R3,A0A0L8H5X8,A0A0L8H948,A0A0L8HC44,A0A0L8HF67,A0A0L8HG52,A0A0L8HG55,A0A0L8HGM7,A0A0L8HKG8,A0A0L8HM70,A0A0L8HTW3,A0A0L8HZY4,A0A0L8I1R9,A0A0L8I256,A0A0L8I7R7,A0A0L8I7X0,A0A0L8IAB6,A0A0L8IAV0
GO Process	GO:0009987	Cellular process	84	12352	0.21	0.51	3.14e-05	37653.A0A0L8FF94,37653.A0A0L8FFX4,37653.A0A0L8FGD1,37653.A0A0L8FHE9,37653.A0A0L8FKJ3,37653.A0A0L8FKJ5,37653.A0A0L8FLE0,37653.A0A0L8FLH8,37653.A0A0L8FML9,37653.A0A0L8FMS3,37653.A0A0L8FNX8,37653.A0A0L8FP27,37653.A0A0L8FPA2,37653.A0A0L8FPA5,37653.A0A0L8FPN4,37653.A0A0L8FPZ6,37653.A0A0L8FQ87,37653.A0A0L8FS54,37653.A0A0L8FV15,37653.A0A0L8FVL2,37653.A0A0L8FWE5,37653.A0A0L8FWP5,37653.A0A0L8FXF3,37653.A0A0L8FYE3,37653.A0A0L8FYU5,37653.A0A0L8G175,37653.A0A0L8G1R3,37653.A0A0L8G1Z1,37653.A0A0L8G2A7,37653.A0A0L8G3F5,37653.A0A0L8G5A3,37653.A0A0L8G667,37653.A0A0L8G9D9,37653.A0A0L8G9L0,37653.A0A0L8GAQ9,37653.A0A0L8GC37,37653.A0A0L8GCJ9,37653.A0A0L8GDI6,37653.A0A0L8GDT2,37653.A0A0L8GE16,37653.A0A0L8GFB0,37653.A0A0L8GFS8,37653.A0A0L8GKE1,37653.A0A0L8GKJ9,37653.A0A0L8GL19,37653.A0A0L8GMI1,37653.A0A0L8GMI2,37653.A0A0L8GPJ8,37653.A0A0L8GQE9,37653.A0A0L8GSV5,37653.A0A0L8GSZ8,37653.A0A0L8GUT7,37653.A0A0L8GVZ4,37653.A0A0L8GW16,37653.A0A0L8GWM6,37653.A0A0L8H0V4,37653.A0A0L8H3X2,37653.A0A0L8H478,37653.A0A0L8H5X8,37653.A0A0L8H7U2,37653.A0A0L8H8T6,37653.A0A0L8H8X2,37653.A0A0L8H948,37653.A0A0L8HC44,37653.A0A0L8HCK0,37653.A0A0L8HE39,37653.A0A0L8HF67,37653.A0A0L8HG49,37653.A0A0L8HG52,37653.A0A0L8HG55,37653.A0A0L8HGA7,37653.A0A0L8HGM7,37653.A0A0L8HIY2,37653.A0A0L8HJP2,37653.A0A0L8HKG8,37653.A0A0L8HTP0,37653.A0A0L8HTW3,37653.A0A0L8HV00,37653.A0A0L8HZY4,37653.A0A0L8I1R9,37653.A0A0L8I7R7,37653.A0A0L8I7X0,37653.A0A0L8IAB6,37653.A0A0L8IAV0	A0A0L8FF94,A0A0L8FFX4,A0A0L8FGD1,A0A0L8FHE9,A0A0L8FKJ3,A0A0L8FKJ5,A0A0L8FLE0,A0A0L8FLH8,A0A0L8FML9,A0A0L8FMS3,A0A0L8FNX8,A0A0L8FP27,A0A0L8FPA2,A0A0L8FPA5,A0A0L8FPN4,A0A0L8FPZ6,A0A0L8FQ87,A0A0L8FS54,A0A0L8FV15,A0A0L8FVL2,A0A0L8FWE5,A0A0L8FWP5,A0A0L8FXF3,A0A0L8FYE3,A0A0L8FYU5,A0A0L8G175,A0A0L8G1R3,A0A0L8G1Z1,A0A0L8G2A7,A0A0L8G3F5,A0A0L8G5A3,A0A0L8G667,A0A0L8G9D9,A0A0L8G9L0,A0A0L8GAQ9,A0A0L8GC37,A0A0L8GCJ9,A0A0L8GDI6,A0A0L8GDT2,A0A0L8GE16,A0A0L8GFB0,A0A0L8GFS8,LSM4,A0A0L8GKJ9,A0A0L8GL19,A0A0L8GMI1,A0A0L8GMI2,A0A0L8GPJ8,A0A0L8GQE9,A0A0L8GSV5,A0A0L8GSZ8,A0A0L8GUT7,A0A0L8GVZ4,A0A0L8GW16,A0A0L8GWM6,A0A0L8H0V4,A0A0L8H3X2,A0A0L8H478,A0A0L8H5X8,A0A0L8H7U2,A0A0L8H8T6,A0A0L8H8X2,A0A0L8H948,A0A0L8HC44,A0A0L8HCK0,A0A0L8HE39,A0A0L8HF67,A0A0L8HG49,A0A0L8HG52,A0A0L8HG55,A0A0L8HGA7,A0A0L8HGM7,A0A0L8HIY2,A0A0L8HJP2,A0A0L8HKG8,A0A0L8HTP0,A0A0L8HTW3,A0A0L8HV00,A0A0L8HZY4,A0A0L8I1R9,A0A0L8I7R7,A0A0L8I7X0,A0A0L8IAB6,A0A0L8IAV0
GO Process	GO:0071704	Organic substance metabolic process	53	6335	0.3	0.53	0.00017	37653.A0A0L8FF94,37653.A0A0L8FGD1,37653.A0A0L8FLE0,37653.A0A0L8FLH8,37653.A0A0L8FML9,37653.A0A0L8FNX8,37653.A0A0L8FP27,37653.A0A0L8FPA5,37653.A0A0L8FPN4,37653.A0A0L8FPZ6,37653.A0A0L8FQ87,37653.A0A0L8FQJ9,37653.A0A0L8FVL2,37653.A0A0L8FWE5,37653.A0A0L8FWP5,37653.A0A0L8G175,37653.A0A0L8G5A3,37653.A0A0L8G667,37653.A0A0L8G9D9,37653.A0A0L8G9L0,37653.A0A0L8GA32,37653.A0A0L8GAQ9,37653.A0A0L8GC37,37653.A0A0L8GDI6,37653.A0A0L8GDT2,37653.A0A0L8GE16,37653.A0A0L8GES0,37653.A0A0L8GFB0,37653.A0A0L8GFS8,37653.A0A0L8GJ68,37653.A0A0L8GKE1,37653.A0A0L8GL19,37653.A0A0L8GPJ8,37653.A0A0L8GSV5,37653.A0A0L8GVZ4,37653.A0A0L8GWM6,37653.A0A0L8H478,37653.A0A0L8H5R3,37653.A0A0L8H5X8,37653.A0A0L8H948,37653.A0A0L8HC44,37653.A0A0L8HG52,37653.A0A0L8HG55,37653.A0A0L8HGM7,37653.A0A0L8HKG8,37653.A0A0L8HM70,37653.A0A0L8HTW3,37653.A0A0L8HZY4,37653.A0A0L8I1R9,37653.A0A0L8I7R7,37653.A0A0L8I7X0,37653.A0A0L8IAB6,37653.A0A0L8IAV0	A0A0L8FF94,A0A0L8FGD1,A0A0L8FLE0,A0A0L8FLH8,A0A0L8FML9,A0A0L8FNX8,A0A0L8FP27,A0A0L8FPA5,A0A0L8FPN4,A0A0L8FPZ6,A0A0L8FQ87,A0A0L8FQJ9,A0A0L8FVL2,A0A0L8FWE5,A0A0L8FWP5,A0A0L8G175,A0A0L8G5A3,A0A0L8G667,A0A0L8G9D9,A0A0L8G9L0,A0A0L8GA32,A0A0L8GAQ9,A0A0L8GC37,A0A0L8GDI6,A0A0L8GDT2,A0A0L8GE16,A0A0L8GES0,A0A0L8GFB0,A0A0L8GFS8,A0A0L8GJ68,LSM4,A0A0L8GL19,A0A0L8GPJ8,A0A0L8GSV5,A0A0L8GVZ4,A0A0L8GWM6,A0A0L8H478,A0A0L8H5R3,A0A0L8H5X8,A0A0L8H948,A0A0L8HC44,A0A0L8HG52,A0A0L8HG55,A0A0L8HGM7,A0A0L8HKG8,A0A0L8HM70,A0A0L8HTW3,A0A0L8HZY4,A0A0L8I1R9,A0A0L8I7R7,A0A0L8I7X0,A0A0L8IAB6,A0A0L8IAV0
GO Process	GO:0044238	Primary metabolic process	50	5942	0.31	0.51	0.00031	37653.A0A0L8FF94,37653.A0A0L8FGD1,37653.A0A0L8FLE0,37653.A0A0L8FLH8,37653.A0A0L8FML9,37653.A0A0L8FNX8,37653.A0A0L8FP27,37653.A0A0L8FPA5,37653.A0A0L8FPN4,37653.A0A0L8FQ87,37653.A0A0L8FQJ9,37653.A0A0L8FVL2,37653.A0A0L8FWE5,37653.A0A0L8FWP5,37653.A0A0L8G175,37653.A0A0L8G5A3,37653.A0A0L8G667,37653.A0A0L8G9D9,37653.A0A0L8G9L0,37653.A0A0L8GA32,37653.A0A0L8GAQ9,37653.A0A0L8GC37,37653.A0A0L8GDI6,37653.A0A0L8GDT2,37653.A0A0L8GE16,37653.A0A0L8GES0,37653.A0A0L8GFS8,37653.A0A0L8GJ68,37653.A0A0L8GKE1,37653.A0A0L8GL19,37653.A0A0L8GPJ8,37653.A0A0L8GSV5,37653.A0A0L8GVZ4,37653.A0A0L8GWM6,37653.A0A0L8H478,37653.A0A0L8H5R3,37653.A0A0L8H5X8,37653.A0A0L8H948,37653.A0A0L8HC44,37653.A0A0L8HG52,37653.A0A0L8HG55,37653.A0A0L8HGM7,37653.A0A0L8HKG8,37653.A0A0L8HM70,37653.A0A0L8HTW3,37653.A0A0L8HZY4,37653.A0A0L8I1R9,37653.A0A0L8I7X0,37653.A0A0L8IAB6,37653.A0A0L8IAV0	A0A0L8FF94,A0A0L8FGD1,A0A0L8FLE0,A0A0L8FLH8,A0A0L8FML9,A0A0L8FNX8,A0A0L8FP27,A0A0L8FPA5,A0A0L8FPN4,A0A0L8FQ87,A0A0L8FQJ9,A0A0L8FVL2,A0A0L8FWE5,A0A0L8FWP5,A0A0L8G175,A0A0L8G5A3,A0A0L8G667,A0A0L8G9D9,A0A0L8G9L0,A0A0L8GA32,A0A0L8GAQ9,A0A0L8GC37,A0A0L8GDI6,A0A0L8GDT2,A0A0L8GE16,A0A0L8GES0,A0A0L8GFS8,A0A0L8GJ68,LSM4,A0A0L8GL19,A0A0L8GPJ8,A0A0L8GSV5,A0A0L8GVZ4,A0A0L8GWM6,A0A0L8H478,A0A0L8H5R3,A0A0L8H5X8,A0A0L8H948,A0A0L8HC44,A0A0L8HG52,A0A0L8HG55,A0A0L8HGM7,A0A0L8HKG8,A0A0L8HM70,A0A0L8HTW3,A0A0L8HZY4,A0A0L8I1R9,A0A0L8I7X0,A0A0L8IAB6,A0A0L8IAV0
GO Process	GO:0044237	Cellular metabolic process	45	5296	0.31	0.47	0.0010	37653.A0A0L8FF94,37653.A0A0L8FGD1,37653.A0A0L8FLE0,37653.A0A0L8FLH8,37653.A0A0L8FML9,37653.A0A0L8FNX8,37653.A0A0L8FPA5,37653.A0A0L8FPZ6,37653.A0A0L8FQ87,37653.A0A0L8FVL2,37653.A0A0L8FWE5,37653.A0A0L8FWP5,37653.A0A0L8G175,37653.A0A0L8G2A7,37653.A0A0L8G5A3,37653.A0A0L8G667,37653.A0A0L8G9D9,37653.A0A0L8GAQ9,37653.A0A0L8GC37,37653.A0A0L8GCJ9,37653.A0A0L8GDI6,37653.A0A0L8GDT2,37653.A0A0L8GFB0,37653.A0A0L8GFS8,37653.A0A0L8GKE1,37653.A0A0L8GL19,37653.A0A0L8GPJ8,37653.A0A0L8GSV5,37653.A0A0L8GVZ4,37653.A0A0L8GWM6,37653.A0A0L8H478,37653.A0A0L8H5X8,37653.A0A0L8H948,37653.A0A0L8HC44,37653.A0A0L8HF67,37653.A0A0L8HG52,37653.A0A0L8HG55,37653.A0A0L8HGM7,37653.A0A0L8HKG8,37653.A0A0L8HTW3,37653.A0A0L8HZY4,37653.A0A0L8I1R9,37653.A0A0L8I7R7,37653.A0A0L8IAB6,37653.A0A0L8IAV0	A0A0L8FF94,A0A0L8FGD1,A0A0L8FLE0,A0A0L8FLH8,A0A0L8FML9,A0A0L8FNX8,A0A0L8FPA5,A0A0L8FPZ6,A0A0L8FQ87,A0A0L8FVL2,A0A0L8FWE5,A0A0L8FWP5,A0A0L8G175,A0A0L8G2A7,A0A0L8G5A3,A0A0L8G667,A0A0L8G9D9,A0A0L8GAQ9,A0A0L8GC37,A0A0L8GCJ9,A0A0L8GDI6,A0A0L8GDT2,A0A0L8GFB0,A0A0L8GFS8,LSM4,A0A0L8GL19,A0A0L8GPJ8,A0A0L8GSV5,A0A0L8GVZ4,A0A0L8GWM6,A0A0L8H478,A0A0L8H5X8,A0A0L8H948,A0A0L8HC44,A0A0L8HF67,A0A0L8HG52,A0A0L8HG55,A0A0L8HGM7,A0A0L8HKG8,A0A0L8HTW3,A0A0L8HZY4,A0A0L8I1R9,A0A0L8I7R7,A0A0L8IAB6,A0A0L8IAV0
GO Process	GO:1901360	Organic cyclic compound metabolic process	28	2524	0.43	0.51	0.0014	37653.A0A0L8FF94,37653.A0A0L8FLE0,37653.A0A0L8FLH8,37653.A0A0L8FNX8,37653.A0A0L8FPZ6,37653.A0A0L8FQ87,37653.A0A0L8FVL2,37653.A0A0L8FWE5,37653.A0A0L8G5A3,37653.A0A0L8G667,37653.A0A0L8G9D9,37653.A0A0L8GDI6,37653.A0A0L8GFS8,37653.A0A0L8GJ68,37653.A0A0L8GKE1,37653.A0A0L8GL19,37653.A0A0L8GPJ8,37653.A0A0L8GVZ4,37653.A0A0L8GWM6,37653.A0A0L8H478,37653.A0A0L8H5X8,37653.A0A0L8HC44,37653.A0A0L8HG52,37653.A0A0L8HGM7,37653.A0A0L8HZY4,37653.A0A0L8I1R9,37653.A0A0L8I7R7,37653.A0A0L8IAB6	A0A0L8FF94,A0A0L8FLE0,A0A0L8FLH8,A0A0L8FNX8,A0A0L8FPZ6,A0A0L8FQ87,A0A0L8FVL2,A0A0L8FWE5,A0A0L8G5A3,A0A0L8G667,A0A0L8G9D9,A0A0L8GDI6,A0A0L8GFS8,A0A0L8GJ68,LSM4,A0A0L8GL19,A0A0L8GPJ8,A0A0L8GVZ4,A0A0L8GWM6,A0A0L8H478,A0A0L8H5X8,A0A0L8HC44,A0A0L8HG52,A0A0L8HGM7,A0A0L8HZY4,A0A0L8I1R9,A0A0L8I7R7,A0A0L8IAB6
GO Process	GO:0006725	Cellular aromatic compound metabolic process	27	2450	0.42	0.49	0.0020	37653.A0A0L8FF94,37653.A0A0L8FLE0,37653.A0A0L8FLH8,37653.A0A0L8FNX8,37653.A0A0L8FPZ6,37653.A0A0L8FQ87,37653.A0A0L8FVL2,37653.A0A0L8FWE5,37653.A0A0L8G5A3,37653.A0A0L8G667,37653.A0A0L8G9D9,37653.A0A0L8GDI6,37653.A0A0L8GFS8,37653.A0A0L8GKE1,37653.A0A0L8GL19,37653.A0A0L8GPJ8,37653.A0A0L8GVZ4,37653.A0A0L8GWM6,37653.A0A0L8H478,37653.A0A0L8H5X8,37653.A0A0L8HC44,37653.A0A0L8HG52,37653.A0A0L8HGM7,37653.A0A0L8HZY4,37653.A0A0L8I1R9,37653.A0A0L8I7R7,37653.A0A0L8IAB6	A0A0L8FF94,A0A0L8FLE0,A0A0L8FLH8,A0A0L8FNX8,A0A0L8FPZ6,A0A0L8FQ87,A0A0L8FVL2,A0A0L8FWE5,A0A0L8G5A3,A0A0L8G667,A0A0L8G9D9,A0A0L8GDI6,A0A0L8GFS8,LSM4,A0A0L8GL19,A0A0L8GPJ8,A0A0L8GVZ4,A0A0L8GWM6,A0A0L8H478,A0A0L8H5X8,A0A0L8HC44,A0A0L8HG52,A0A0L8HGM7,A0A0L8HZY4,A0A0L8I1R9,A0A0L8I7R7,A0A0L8IAB6
GO Process	GO:0006807	Nitrogen compound metabolic process	45	5491	0.3	0.44	0.0020	37653.A0A0L8FF94,37653.A0A0L8FLE0,37653.A0A0L8FLH8,37653.A0A0L8FNX8,37653.A0A0L8FP27,37653.A0A0L8FPA5,37653.A0A0L8FPN4,37653.A0A0L8FQ87,37653.A0A0L8FQJ9,37653.A0A0L8FVL2,37653.A0A0L8FWE5,37653.A0A0L8FWP5,37653.A0A0L8G175,37653.A0A0L8G5A3,37653.A0A0L8G667,37653.A0A0L8G9D9,37653.A0A0L8G9L0,37653.A0A0L8GAQ9,37653.A0A0L8GC37,37653.A0A0L8GDI6,37653.A0A0L8GDT2,37653.A0A0L8GE16,37653.A0A0L8GFB0,37653.A0A0L8GFS8,37653.A0A0L8GKE1,37653.A0A0L8GL19,37653.A0A0L8GPJ8,37653.A0A0L8GSV5,37653.A0A0L8GVZ4,37653.A0A0L8GWM6,37653.A0A0L8H478,37653.A0A0L8H5R3,37653.A0A0L8H5X8,37653.A0A0L8H948,37653.A0A0L8HC44,37653.A0A0L8HG52,37653.A0A0L8HG55,37653.A0A0L8HGM7,37653.A0A0L8HKG8,37653.A0A0L8HM70,37653.A0A0L8HTW3,37653.A0A0L8HZY4,37653.A0A0L8I1R9,37653.A0A0L8I7R7,37653.A0A0L8IAB6	A0A0L8FF94,A0A0L8FLE0,A0A0L8FLH8,A0A0L8FNX8,A0A0L8FP27,A0A0L8FPA5,A0A0L8FPN4,A0A0L8FQ87,A0A0L8FQJ9,A0A0L8FVL2,A0A0L8FWE5,A0A0L8FWP5,A0A0L8G175,A0A0L8G5A3,A0A0L8G667,A0A0L8G9D9,A0A0L8G9L0,A0A0L8GAQ9,A0A0L8GC37,A0A0L8GDI6,A0A0L8GDT2,A0A0L8GE16,A0A0L8GFB0,A0A0L8GFS8,LSM4,A0A0L8GL19,A0A0L8GPJ8,A0A0L8GSV5,A0A0L8GVZ4,A0A0L8GWM6,A0A0L8H478,A0A0L8H5R3,A0A0L8H5X8,A0A0L8H948,A0A0L8HC44,A0A0L8HG52,A0A0L8HG55,A0A0L8HGM7,A0A0L8HKG8,A0A0L8HM70,A0A0L8HTW3,A0A0L8HZY4,A0A0L8I1R9,A0A0L8I7R7,A0A0L8IAB6
GO Process	GO:0034641	Cellular nitrogen compound metabolic process	29	2924	0.38	0.43	0.0053	37653.A0A0L8FF94,37653.A0A0L8FLE0,37653.A0A0L8FLH8,37653.A0A0L8FNX8,37653.A0A0L8FPA5,37653.A0A0L8FQ87,37653.A0A0L8FVL2,37653.A0A0L8FWE5,37653.A0A0L8G5A3,37653.A0A0L8G667,37653.A0A0L8G9D9,37653.A0A0L8GC37,37653.A0A0L8GDI6,37653.A0A0L8GDT2,37653.A0A0L8GFB0,37653.A0A0L8GFS8,37653.A0A0L8GKE1,37653.A0A0L8GL19,37653.A0A0L8GPJ8,37653.A0A0L8GVZ4,37653.A0A0L8GWM6,37653.A0A0L8H5X8,37653.A0A0L8HC44,37653.A0A0L8HG52,37653.A0A0L8HGM7,37653.A0A0L8HTW3,37653.A0A0L8I1R9,37653.A0A0L8I7R7,37653.A0A0L8IAB6	A0A0L8FF94,A0A0L8FLE0,A0A0L8FLH8,A0A0L8FNX8,A0A0L8FPA5,A0A0L8FQ87,A0A0L8FVL2,A0A0L8FWE5,A0A0L8G5A3,A0A0L8G667,A0A0L8G9D9,A0A0L8GC37,A0A0L8GDI6,A0A0L8GDT2,A0A0L8GFB0,A0A0L8GFS8,LSM4,A0A0L8GL19,A0A0L8GPJ8,A0A0L8GVZ4,A0A0L8GWM6,A0A0L8H5X8,A0A0L8HC44,A0A0L8HG52,A0A0L8HGM7,A0A0L8HTW3,A0A0L8I1R9,A0A0L8I7R7,A0A0L8IAB6
GO Process	GO:0016071	mRNA metabolic process	10	413	0.77	0.53	0.0059	37653.A0A0L8FQ87,37653.A0A0L8FVL2,37653.A0A0L8G5A3,37653.A0A0L8G667,37653.A0A0L8GKE1,37653.A0A0L8GL19,37653.A0A0L8HC44,37653.A0A0L8HG52,37653.A0A0L8HGM7,37653.A0A0L8I1R9	A0A0L8FQ87,A0A0L8FVL2,A0A0L8G5A3,A0A0L8G667,LSM4,A0A0L8GL19,A0A0L8HC44,A0A0L8HG52,A0A0L8HGM7,A0A0L8I1R9
