label	window_bp	n_observed	mean_permuted	fold_enrichment	p_value	n_sites	n_permutations
All A->G	0	13	19.8	0.6568	0.957	43154	1000
All A->G	50	103	91.5	1.1255	0.125	43154	1000
All A->G	100	201	161.5	1.2449	0.001	43154	1000
All A->G	200	345	299.0	1.154	0.004	43154	1000
All A->G	500	693	707.2	0.98	0.712	43154	1000
Cold	0	5	12.2	0.4104	0.993	26636	1000
Cold	50	61	56.9	1.0725	0.309	26636	1000
Cold	100	124	100.0	1.2406	0.015	26636	1000
Cold	200	209	185.0	1.1295	0.052	26636	1000
Cold	500	428	436.3	0.9811	0.659	26636	1000
Warm	0	8	7.5	1.06	0.486	16516	1000
Warm	50	42	35.3	1.1896	0.166	16516	1000
Warm	100	77	62.0	1.2425	0.035	16516	1000
Warm	200	136	114.5	1.1882	0.029	16516	1000
Warm	500	265	270.5	0.9797	0.642	16516	1000
