label	window_bp	n_observed	mean_permuted	fold_enrichment	p_value	n_sites	n_permutations
All A->G	0	519	666.6	0.7786	1.0	43154	1000
All A->G	50	3468	2859.5	1.2128	0.0	43154	1000
All A->G	100	5601	4724.1	1.1856	0.0	43154	1000
All A->G	200	8947	7955.3	1.1247	0.0	43154	1000
All A->G	500	16335	15527.7	1.052	0.0	43154	1000
Cold	0	290	410.9	0.7058	1.0	26636	1000
Cold	50	2055	1761.0	1.167	0.0	26636	1000
Cold	100	3433	2908.4	1.1804	0.0	26636	1000
Cold	200	5547	4897.9	1.1325	0.0	26636	1000
Cold	500	10211	9565.3	1.0675	0.0	26636	1000
Warm	0	229	255.4	0.8967	0.955	16516	1000
Warm	50	1413	1096.0	1.2892	0.0	16516	1000
Warm	100	2168	1812.4	1.1962	0.0	16516	1000
Warm	200	3399	3051.7	1.1138	0.0	16516	1000
Warm	500	6123	5955.4	1.0282	0.001	16516	1000
