label	window_bp	n_observed	mean_permuted	fold_enrichment	p_value	n_sites	n_permutations
All A->G	0	283	4524.6	0.0625	1.0	43154	100
All A->G	50	1260	6136.1	0.2053	1.0	43154	100
All A->G	100	2058	7468.7	0.2755	1.0	43154	100
All A->G	200	3663	9866.3	0.3713	1.0	43154	100
All A->G	500	8651	15820.2	0.5468	1.0	43154	100
Cold↑	0	169	2798.7	0.0604	1.0	26636	100
Cold↑	50	756	3798.4	0.199	1.0	26636	100
Cold↑	100	1241	4620.2	0.2686	1.0	26636	100
Cold↑	200	2268	6097.6	0.372	1.0	26636	100
Cold↑	500	5346	9762.0	0.5476	1.0	26636	100
Warm↑	0	114	1724.8	0.0661	1.0	16516	100
Warm↑	50	504	2341.7	0.2152	1.0	16516	100
Warm↑	100	817	2853.4	0.2863	1.0	16516	100
Warm↑	200	1394	3774.6	0.3693	1.0	16516	100
Warm↑	500	3304	6053.6	0.5458	1.0	16516	100
