Chromosome	start	end	name	strand	description
chr1	1856888	1856911	LOC106875786	-	platelet binding protein GspB-like
chr1	6269819	6269882	LOC106882384	-	laminin subunit alpha-1
chr1	6419864	6419903	LOC106880974	+	axotactin
chr1	7331903	7331930	LOC106872549	-	zinc finger protein 570
chr1	8967267	8967288	LOC106872326	+	serine/threonine-protein phosphatase 4 catalytic subunit
chr1	10252628	10252648	LOC106883328	-	colorectal mutant cancer protein
chr1	18493835	18493858	LOC106874072	+	annexin A4
chr1	18493835	18493858	LOC106874072	+	annexin A4
chr2	95276	95339	LOC106870749	+	Fanconi anemia group I protein
chr2	3825476	3825502	LOC106884236	-	cell division cycle protein 27 homolog
chr2	3977276	3977298	LOC106884240	+	putative methyltransferase C9orf114 homolog
chr2	19434364	19434382	LOC106882687	+	5-hydroxytryptamine receptor 1
chr2	34081304	34081330	LOC106868110	+	epoxide hydrolase 4
chr2	38785474	38785499	LOC106874684	+	innexin unc-9
chr2	38785526	38785568	LOC106874684	+	innexin unc-9
chr2	41055627	41055650	LOC106884228	+	mucin-17
chr2	41057169	41057208	LOC106884227	-	uncharacterized LOC106884227
chr2	42031034	42031054	LOC106880539	-	photoreceptor-specific nuclear receptor
chr2	51992257	51992280	LOC106867406	-	tripartite motif-containing protein 2
chr2	51992364	51992388	LOC106867406	-	tripartite motif-containing protein 2
chr2	55673686	55673717	LOC106877942	+	ADP-ribosylation factor-like protein 6-interacting protein 1
chr2	68553451	68553473	LOC106879514	-	ralBP1-associated Eps domain-containing protein 1
chr2	69813551	69813573	LOC106869239	+	galactoside 2-alpha-L-fucosyltransferase SEC1
chr2	75277671	75277698	LOC106875359	+	uncharacterized LOC106875359
chr2	75277731	75277758	LOC106875359	+	uncharacterized LOC106875359
chr2	75277812	75277833	LOC106875359	+	uncharacterized LOC106875359
chr2	75277932	75277977	LOC106875359	+	uncharacterized LOC106875359
chr2	75278226	75278253	LOC106875359	+	uncharacterized LOC106875359
chr2	75278388	75278409	LOC106875359	+	uncharacterized LOC106875359
chr2	75278514	75278535	LOC106875359	+	uncharacterized LOC106875359
chr2	75278652	75278679	LOC106875359	+	uncharacterized LOC106875359
chr2	75278910	75278937	LOC106875359	+	uncharacterized LOC106875359
chr2	75279161	75279183	LOC106875359	+	uncharacterized LOC106875359
chr2	85696558	85696580	LOC106880691	-	rab-3A-interacting protein-like
chr2	86937106	86937141	LOC106875782	+	uncharacterized LOC106875782
chr2	86937840	86937873	LOC106875782	+	uncharacterized LOC106875782
chr2	97275843	97275864	LOC106879575	-	tryptophan--tRNA ligase, mitochondrial
chr2	99119467	99119487	LOC128247184	-	U6 spliceosomal RNA
chr2	110604322	110604343	LOC106884312	-	probable ATP-dependent RNA helicase DDX10
chr2	115024376	115024397	LOC106881127	-	beta-1,3-galactosyltransferase 1
chr2	116314634	116314664	LOC106871500	+	uncharacterized LOC106871500
chr2	121193021	121193060	LOC106876558	+	uncharacterized LOC106876558
chr2	121193844	121193872	LOC106876558	+	uncharacterized LOC106876558
chr2	133260744	133260783	LOC106880126	+	uncharacterized LOC106880126
chr2	134775323	134775368	LOC106873483	+	synaptotagmin-6
chr2	137658381	137658403	LOC106869416	-	zinc finger CCCH domain-containing protein 15
chr2	138031197	138031218	LOC106873534	-	dnaJ homolog subfamily C member 8
chr2	144106646	144106678	LOC106875154	+	PI-PLC X domain-containing protein 3
chr2	162763021	162763038	LOC106875269	+	tectonin beta-propeller repeat-containing protein 1
chr2	163133510	163133536	LOC128247145	-	U6 spliceosomal RNA
chr2	166649758	166649785	LOC106881530	+	cilia- and flagella-associated protein 206
chr3	254762	254781	LOC106884459	+	cyclin-Y
chr3	255087	255108	LOC106884459	+	cyclin-Y
chr3	1129676	1129697	LOC106872848	-	aromatic-L-amino-acid decarboxylase
